"id","x","y","weight"
"YNYSWEN","294859.7760887312","197340.05136559188","61"
"BRADFS","416370.10145553766","433429.6901790502","137"
"RHOSNGR","232800.13302635457","373800.4412600707","19"
"OCKENDN","559003.063216103","182827.96045180754","87"
"PNTADLS","258790.22779849468","204080.0927173348","10"
"WIMLCHS","524310.0746877831","169350.375893995","71"
"BRUSTAN","331329.74759658886","672710.0893667652","63"
"NEEDHAM","609110.0031037222","254880.24184138037","38"
"WMILTON","334464.7248732377","161465.13875957284","54"
"BLANTYR","269265.0259808057","657974.543867039","137"
"GTMLVRN","378300.05497545615","245700.33957403142","77"
"CHBURY","435230.2563442533","219440.4665403518","45"
"CLCHHYT","601570.1553679451","224837.2535802347","46"
"HRLDWOD","554785.1098718953","190574.5128116227","324"
"MORCAME","343209.87136182934","464170.29396855936","52"
"YOVILPM","356999.8629073491","116299.4575628156","31"
"HTHRGRN","539000.3042130657","174454.6142261601","335"
"FROME","378449.7713978949","147610.13840498513","38"
"PTFTTSF","445070.310282251","422180.3737043166","26"
"KNORTON","404699.7080372668","279590.11447568884","143"
"HEATHLL","318079.87756412476","180299.99407356913","60"
"POSILPK","258850.14841936837","668639.6556930955","51"
"WALASYV","329049.79278570577","392319.6693164748","120"
"OXTED","539317.2372527862","152862.3972115943","93"
"GUNTON","625523.2696689129","335127.467309539","25"
"BLCHSRD","535799.7142891883","189344.57478110545","141"
"STURRY","617746.3144620461","160401.31677885595","50"
"HEYSHBR","340200.28003876226","459999.6910783675","2"
"TOLWTH","519845.0960565071","165605.17090533243","70"
"CHDNGTN","492232.118015263","218549.38854059653","48"
"BCKNHMJ","537395.2045460338","169849.6305454331","132"
"ABDVY","260680.9626509754","296038.32907957945","18"
"FNCHLYR","526070.0509188883","185049.5412915051","319"
"SHEPRTN","508152.7197073657","167562.65571872325","81"
"SHOTTON","330750.295998722","368890.076026506","41"
"CONGLTN","387219.9962802022","362319.707955212","38"
"AIRDRIE","276000.13113256113","665200.2979975077","158"
"BEXLEY","549379.8171726709","173435.2461276584","188"
"IVYBDGE","264745.2859873386","56569.94742393744","33"
"LEIGHK","554554.6513591511","146175.0876083113","55"
"YSTRBWD","317399.85870687914","196899.50554172264","22"
"BYFLANH","505853.99218159163","162284.45363155392","84"
"BDMNSTR","358799.92721189035","171400.4287174858","47"
"HYDNSRD","526020.3149370727","171160.4288945184","71"
"PPAN","339229.8663331495","673770.3359529175","38"
"ULCEBY","512489.7815163478","414970.0938922749","16"
"ROMANBG","271269.84504493844","351409.5948084232","11"
"CNCK","398599.8127021649","309830.09536856343","70"
"DAWLISH","296399.6586449428","76700.15467154924","100"
"DLMALLY","215980.12954081115","727210.2513301782","14"
"STECHFD","412929.67989841313","287450.0958697334","75"
"YOVILJN","357049.75456902705","114100.37862731828","52"
"PLSNGTN","364200.2357279681","426200.33519822767","30"
"SYDNHMH","533539.9752557987","172159.73132979276","123"
"BOWSTRT","262083.7626669821","284366.00421865605","31"
"SDAL","347620.1572132137","475200.26384391554","35"
"LCHALRT","176900.27820888095","782599.7776746029","8"
"WRABNES","618095.1254353103","231530.25693622947","41"
"WIGANWL","358139.69425625814","405540.0259426439","96"
"STJMSST","536392.888804657","188735.0877155221","150"
"WOKNGHM","480596.21675088827","168657.36333237","226"
"LTLSUTN","337210.1504500992","376919.6408169471","75"
"ROYSTON","535387.0945000979","241247.1839095347","191"
"DALRY","229751.97410810817","649195.1572375606","91"
"GWRSYLT","331899.86238329107","353299.7092246083","31"
"SNDHRST","483352.0341849305","161550.09321112983","52"
"BEREFRS","245230.30897371095","63545.52815190487","17"
"PKWD","567079.0777528798","145272.55349390444","126"
"RDLEY","452603.144263055","198877.53524710576","60"
"CRLN","541130.1769786435","178384.83205717278","264"
"CTMSLNK","531689.9859316549","181149.50964057585","530"
"HTRWTM4","508042.82171687065","174518.28530804033","76"
"PRKSTON","623802.6876213539","232649.23893790576","51"
"HTRWTM5","504976.7365156036","175886.01771666086","233"
"KIDBROK","540945.1675476367","175632.05358684598","188"
"CRLK","283990.2875600798","650199.6163914173","78"
"DUNS","378600.2087220981","653800.27638489","12"
"EMRSPKH","553964.7763512447","187864.91603804525","64"
"CHNRLOW","475683.6529236196","200491.8402221488","13"
"OUTWOOD","432410.0124349959","424430.5189461642","69"
"STHCENT","588162.245793613","185502.69151408988","223"
"COPLSTN","276700.1017235329","103119.46548653342","34"
"EBWVTN","317127.7900364777","209353.42772056686","34"
"WALTONM","335969.7945455149","395929.5882628556","124"
"BSPSBUS","316779.8219168117","129123.3511732354","50"
"SANQHAR","278129.9621857483","610150.4347500472","18"
"DRMCHPL","252379.9173866026","670489.9468199601","138"
"MSSD","337940.2869957549","430259.48943190044","35"
"HTFLASF","464744.8233138859","410679.58597499866","44"
"YMTHIOW","435399.9459647783","89899.5254024275","30"
"CANLEY","430880.3192734328","278010.08879101597","74"
"UWRLNGH","534068.1198354687","158352.9997947768","60"
"WOLWCHA","543753.7179957647","178803.30354313034","261"
"HOWWOOD","514449.02985560667","203408.9550611006","44"
