"id","x","y","weight"
"2800S54031A","333329.1629350102","400778.79840184876","118"
"1800NF27181","371284.0701284337","392756.8701414967","96"
"2800S54030A","333134.152608591","400501.0413318794","118"
"2800S54030B","333155.15387707663","400559.71784397674","117"
"1800EH38101","396199.044046686","395091.5687854233","16"
"2800S25115A","327718.07776145154","388324.98638135765","13"
"2800S25115B","327644.0952074294","388389.76312697283","13"
"2800S42050A","334943.0377181778","390341.74751201336","67"
"0610VR310","354783.12068448315","373912.6735890137","5"
"0610VR311","354951.09268706205","374404.6193893975","5"
"1800NF40151","382902.2173293768","399864.81081951543","94"
"0610VR312","355061.0875078813","374552.5530265325","5"
"2800S42050B","334958.99796608445","390317.71671321226","108"
"0610VR315","360818.11101203825","375034.77116014203","5"
"0610VR316","360361.0661942942","375308.80161175627","5"
"0610VR317","360147.1218206221","375682.8541603109","5"
"2800S31007B","322252.1129886211","387486.9087244159","103"
"2800S31007A","322351.13047088886","387450.90198516287","105"
"1800EDH0651","393046.18493478664","409025.0078951333","9"
"2800S54032A","333706.1470242906","400552.7254110585","53"
"2800S54032B","333671.15584811795","400569.79646470817","33"
"1800NF27191","371351.068696172","392913.89080400724","96"
"2800S54031B","333384.1127121124","400878.6119894559","64"
"9400ZZMABWY2","380526.04157225776","397611.11724817724","93"
"2800S54031C","333501.1239088069","400754.7856078644","53"
"9400ZZMABWY1","380514.9973163076","397604.8214164946","93"
"2800S25116A","324980.128756053","390133.7872733097","53"
"2800S25116B","325045.16361070296","390142.1047798584","50"
"2500NEL0004","385990.89165912254","437670.49596541654","20"
"2500NEL0005","385986.8708460671","437668.3941579823","39"
"2800S42051A","335131.0471216788","390266.9548016383","27"
"2500NEL0002","385998.87015440466","437675.58987333905","5"
"2800S42051D","335142.03452964296","390268.13953104033","105"
"2500NEL0003","385994.9151594373","437673.487860078","97"
"2800S42051C","335211.0164651543","390255.7345622711","106"
"2500NEL0001","386002.89364521374","437678.5817748832","14"
"1800NB43101","384610.18602207233","403355.99875907257","25"
"1800WA05601","370101.11459452054","411189.0107863741","18"
"2500NEL0008","385974.8728480469","437661.6435153448","39"
"2800S13135A","354351.0743461513","396377.60567883274","22"
"2500NEL0009","385970.9151349764","437658.65143867175","50"
"1800SB11531","382948.1026421076","386229.86930582713","3"
"2500NEL0007","385978.8936723374","437663.7453124466","97"
"1800NF29741","380971.033904149","398156.78414455167","32"
"1800NF30741","379261.0777492986","399102.78822048014","148"
"2800S42052A","335345.0200231684","390276.82445418014","106"
"2800S42052B","335521.0106794065","390319.8224838286","119"
"2500NEL0010","385966.8943026961","437656.5496484408","6"
"2800S31009D","322854.1028684406","387144.808257475","5"
"1800NB43111","384617.14718863554","403416.7216192363","26"
